Name,Prescribed_For,Side_Effects,URL
Barium Sulfate,"Barium sulfate is used to help doctors examine the esophagus (tube that connects the mouth and stomach), stomach, and intestine using x-rays or computed tomography (CAT scan, CT scan; a type of body scan that uses a computer to put together x-ray images to create cross-sectional or three dimensional pictures of the inside of the body). Barium sulfate is in a class of medications called radiopaque contrast media. It works by coating the esophagus, stomach, or intestine with a material that is not absorbed into the body so that diseased or damaged areas can be clearly seen by x-ray examination or CT scan.","['stomach cramps', 'diarrhea', 'nausea', 'vomiting', 'constipation', 'weakness', 'pale skin', 'sweating', 'ringing in the ears', 'hives', 'itching', 'red skin', 'swelling or tightening of the throat ', 'difficulty breathing or swallowing', 'hoarseness', 'agitation', 'confusion', 'fast heartbeat', 'bluish skin color']",https://medlineplus.gov/druginfo/meds/a606010.html
Cefazolin Injection,"Cefazolin injection is used to treat certain infections caused by bacteria including skin, bone, joint, genital, blood, heart valve, respiratory tract (including pneumonia), biliary tract, and urinary tract infections. Cefazolin injection also may be used before, during, and sometimes for a brief period after surgery in order to prevent the patient from getting an infection. Cefazolin injection is in a class of medications called cephalosporin antibiotics. It works by killing bacteria.","['genital itching', 'white patches in mouth', 'loss of appetite', 'heartburn', 'gas', 'nausea', 'vomiting', 'diarrhea', 'headache', 'dizziness', 'confusion', 'weakness', 'tiredness', 'drowsiness', 'pain, redness, swelling, or bleeding near the place where cefazolin was injected', 'watery or bloody stools, stomach cramps or fever during treatment or for up to two or more months after stopping treatment', 'rash', 'hives', 'itching', 'difficulty breathing or swallowing', 'blistering, peeling, or shedding skin', 'swelling in legs and feet', 'decreased urination', 'dark urine', 'yellowing of skin or eyes', 'pain in the upper right part of stomach', 'fainting', 'a return of fever, sore throat, chills, or other signs of infection']",https://medlineplus.gov/druginfo/meds/a682731.html
Testosterone Topical,"Testosterone topical is used to treat the symptoms of low testosterone in adult men who have hypogonadism (a condition in which the body does not produce enough natural testosterone). Testosterone is used only for men with low testosterone levels caused by certain medical conditions, including disorders of the testicles, pituitary gland (a small gland in the brain), or hypothalamus (a part of the brain) that cause hypogonadism. Your doctor will order certain tests to check your testosterone levels to see if they are low before you begin to use testosterone topical. Testosterone should not be used to treat the symptoms of low testosterone in men who have low testosterone due to aging ('age related hypogonadism').  Testosterone is in a class of medications called androgenic hormones. Testosterone is a hormone produced by the body that contributes to the growth, development, and functioning of the male sexual organs and typical male characteristics. Testosterone topical works by replacing the testosterone that is normally produced by the body.","['breast enlargement and/or pain', 'decreased sexual desire', 'acne', 'depression', 'mood changes', 'headache', 'teary eyes', 'dry or itchy skin', 'diarrhea', 'skin redness or irritation', 'lower leg pain, swelling, warmth, or redness', 'shortness of breath', 'swelling of the hands, feet, ankles, or lower legs', 'nausea or vomiting', 'slow or difficult speech', 'dizziness or faintness', 'weakness or numbness of an arm or leg', 'chest pain', 'difficulty breathing, especially during sleep', 'erections that happen too often or that last too long', 'difficulty urinating, weak urine flow, frequent urination, sudden need to urinate right away', 'yellowing of the skin or eyes']",https://medlineplus.gov/druginfo/meds/a605020.html
Fluoxymesterone,"Fluoxymesterone is used to treat symptoms of low testosterone in adult men who have hypogonadism (a condition in which the body does not produce enough natural testosterone). Fluoxymesterone is used only for men with low testosterone levels caused by certain medical conditions, including disorders of the testicles, pituitary gland, (a small gland in the brain) or hypothalamus (a part of the brain) that cause hypogonadism. Fluoxymesterone is also used to stimulate puberty in men with delayed puberty. Fluoxymesterone may also be used alone or along with other medications in certain women with breast cancer that has spread to other parts of the body and can not be removed with surgery. Fluoxymesterone is in a class of medications called androgenic hormones. It works by supplying testosterone to replace the testosterone that is normally produced naturally in the body. Testosterone is a hormone produced by the body that contributes to the growth, development, and functioning of the male sexual organs and typical male characteristics. When used to treat breast cancer, testosterone works by blocking the release of estrogen to stop or slow the growth of  breast cancer..","['changes in sex drive', 'enlargement of the breast', 'headache', 'anxiety', 'depression', 'tingling, prickling, or burning sensations', 'enlargement of the clitoris, deepening of voice, increase in facial hair, acne, and baldness (in women)', 'abnormal or absent menstrual periods', 'erections of the penis that happen too often or do not go away', 'rash, itching, or hives', 'difficulty breathing', 'yellowing of skin or eyes', 'pain in the upper right part of the stomach', 'nausea or vomiting', 'unusual or excessive bleeding', 'swelling or fluid retention']",https://medlineplus.gov/druginfo/meds/a682690.html
Anifrolumab-fnia Injection,"Anifrolumab is used with other medications to treat moderate to severe systemic lupus erythematosus (SLE or lupus; an autoimmune disease in which the immune system attacks healthy parts of the body such as joints, skin, blood vessels, and organs) in adults. Anifrolumab injection is in a class of medications called monoclonal antibodies. It works by blocking the activity of a certain protein in people with SLE.","['headache', 'nausea', 'vomiting', 'tiredness', 'fever, sore throat, chills, cough, or other signs of infection', 'stomach pain or diarrhea', 'frequent, painful, or difficult urination', 'red or painful skin or sores on your body', 'swelling of the face, tongue, or mouth', 'fainting or lightheadedness', 'difficulty breathing']",https://medlineplus.gov/druginfo/meds/a621046.html
Meloxicam Injection,"Meloxicam injection is used alone or in combination with other pain medications for the short-term relief of moderate to severe pain in adults, usually after surgery. Meloxicam is in a class of medications called NSAIDs. It works by stopping the body's production of a substance that causes pain, fever, and inflammation.","['constipation', 'diarrhea', 'pain or itching at injection site', 'fever', 'blisters', 'rash', 'skin blisters or peeling', 'hives', 'itching', 'swelling of the eyes, face, tongue, lips, or throat', 'difficulty breathing or swallowing', 'pale skin', 'fast heartbeat', 'shortness of breath or difficulty breathing', 'unexplained weight gain,', 'swelling in the abdomen, ankles, feet, or legs', 'nausea', 'excessive tiredness', 'lack of energy', 'yellowing of the skin or eyes', 'pain in the right upper part of the stomach', 'flu-like symptoms', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination']",https://medlineplus.gov/druginfo/meds/a620024.html
Estrogen and Progestin (Vaginal Ring Contraceptives),"Estrogen and progestin vaginal ring contraceptives are used to prevent pregnancy. Estrogen (ethinyl estradiol) and progestin (etonogestrel or segesterone) are two female sex hormones. Estrogen and progestin are in a class of medications called combination hormonal contraceptives (birth control medications). Combinations of estrogen and progestin work by preventing ovulation (the release of eggs from the ovaries). They also change the lining of the uterus (womb) to prevent pregnancy from developing and change the mucus at the cervix (opening of the uterus) to prevent sperm (male reproductive cells) from entering. Contraceptive vaginal rings are a very effective method of birth control, but they do not prevent the spread of human immunodeficiency virus (HIV, the virus that causes acquired immunodeficiency syndrome [AIDS]) and other sexually transmitted diseases.","['swelling, redness, irritation, burning, itching, or infection of the vagina', 'white or yellow vaginal discharge', 'vaginal bleeding or spotting when it is not time for your period', 'unusual breast tenderness', 'headache', 'nausea', 'vomiting', 'diarrhea', 'weight gain or loss', 'breast pain, tenderness, or discomfort', 'vaginal discomfort or foreign body sensation', 'stomach pain', 'acne', 'changes in sexual desire', 'pain in the back of the lower leg', 'sharp, sudden, or crushing chest pain', 'heaviness in chest', 'sudden shortness of breath', 'sudden severe headache, vomiting, dizziness, or fainting', 'sudden problems with speech', 'weakness or numbness of an arm or leg', 'double vision, blurred vision, or other changes in vision', 'dark patches of skin on forehead, cheeks, upper lip, and/or chin', 'sudden high fever, vomiting, diarrhea, fainting or feeling faint when standing up, rash, muscle aches, or dizziness', 'yellowing of skin or eyes', 'loss of appetite', 'dark urine', 'extreme tiredness', 'weakness', 'or light-colored bowel movements', 'depression', 'difficulty sleeping or staying asleep', 'loss of energy', 'or other mood changes', 'rash', 'swelling of the hands, feet, ankles, or lower legs', 'hives', 'or itching']",https://medlineplus.gov/druginfo/meds/a604032.html
Umeclidinium and Vilanterol Oral Inhalation,"The combination of umeclidinium and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by chronic obstructive pulmonary disease (COPD; a group of diseases that affect the lungs and airways, which includes chronic bronchitis and emphysema). Umeclidinium is in a class of medications called anticholinergics. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). These medications work by relaxing and opening air passages in the lungs, making it easier to breathe.","['shaking of a part of your body that you cannot control', 'nervousness', 'runny nose, sore throat', 'constipation', 'diarrhea', 'pain in your arms or legs', 'muscle spasms', 'neck pain', 'pounding, fast, or irregular heartbeat', 'chest pain', 'difficulty urinating or urinating in a weak stream or drips', 'frequent or painful urination', 'rash', 'hives', 'itching', 'trouble breathing', 'or swelling of the face, mouth, or tongue ', 'eye pain, redness, or discomfort', 'blurred vision', 'seeing halos or bright colors around lights, sometimes along with nausea and vomiting']",https://medlineplus.gov/druginfo/meds/a614019.html
Flurbiprofen,"Flurbiprofen is used to relieve pain, tenderness, swelling, and stiffness caused by osteoarthritis (arthritis caused by a breakdown of the lining of the joints) and rheumatoid arthritis (arthritis caused by swelling of the lining of the joints). Flurbiprofen is in a class of medications called NSAIDs. It works by stopping the body's production of a substance that causes pain, fever, and inflammation.","['headache', 'nervousness or anxiety', 'depression', 'memory problems', 'shaking of a part of the body that you cannot control', 'difficulty falling asleep or staying asleep', 'vomiting', 'gas', 'constipation', 'diarrhea', 'runny nose', 'ringing in the ears', 'changes in vision (blurriness, difficulty seeing)', 'unexplained weight gain', 'shortness of breath or difficulty breathing', 'swelling in the abdomen, ankles, feet, or legs', 'fever', 'blisters', 'rash', 'itching', 'hives', 'swelling of the eyes, face, lips, tongue, throat, or hands', 'difficulty breathing or swallowing', 'pale skin', 'fast heartbeat', 'excessive tiredness', 'unusual bleeding or bruising', 'lack of energy', 'nausea', 'loss of appetite', 'pain in the upper right part of the stomach', 'flu-like symptoms', 'yellowing of the skin or eyes', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination']",https://medlineplus.gov/druginfo/meds/a687005.html
Disulfiram,"Disulfiram is used to treat chronic alcoholism. It causes unpleasant effects when even small amounts of alcohol are consumed. These effects include flushing of the face, headache, nausea, vomiting, chest pain, weakness, blurred vision, mental confusion, sweating, choking, breathing difficulty, and anxiety. These effects begin about 10 minutes after alcohol enters the body and last for 1 hour or more. Disulfiram is not a cure for alcoholism, but discourages drinking.","['skin rash', 'acne', 'mild headache', 'drowsiness', 'tiredness', 'impotence', 'metallic taste or garlic-like taste in the mouth', 'excessive tiredness', 'weakness', 'lack of energy', 'loss of appetitie', 'upset stomach', 'vomiting', 'yellowness of the skin or eyes', 'dark urine']",https://medlineplus.gov/druginfo/meds/a682602.html
Fenofibrate,"Fenofibrate is used with a low-fat diet, exercise, and sometimes with other medications to reduce the amounts of fatty substances such as cholesterol and triglycerides in the blood and to increase the amount of HDL (high-density lipoprotein; a type of fatty substance that decreases the risk of heart disease) in the blood. Build-up of cholesterol and fats along the walls of the arteries (a process known as atherosclerosis) decreases the blood flow and, therefore, the oxygen supply to the heart, brain, and other parts of the body. This increases the risk of heart disease, angina (chest pain), strokes, and heart attacks. Although fenofibrate decreases the levels of fatty substances in the blood, it has not been shown to decrease the risk of heart attacks or strokes. Fenofibrate is in a class of medications called antilipemic agents. It works by speeding the natural processes that remove cholesterol from the body.","['constipation', 'diarrhea', 'heartburn', 'pain in the back, arm, or legs', 'headache', 'joint pain', 'blistering or peeling skin', 'hives', 'redness, swelling, pain, tenderness, or warmth in one leg', 'muscle pain, weakness, or tenderness', 'fever', 'rash', 'fever', 'trouble breathing', 'changes in urination', 'abdominal pain', 'pain in the upper back between the shoulder blades or under the right shoulder', 'stomach pain, especially in the upper right part of the stomach', 'nausea', 'vomiting', 'shortness of breath', 'pain when breathing', 'coughing up blood', 'swelling of the face, throat, tongue, lips, and eyes', 'difficulty swallowing or breathing', 'hoarseness']",https://medlineplus.gov/druginfo/meds/a601052.html
Infliximab Injection,"Infliximab injection products are in a class of medications called tumor necrosis factor-alpha (TNF-alpha) inhibitors. They work by blocking the action of TNF-alpha, a substance in the body that causes inflammation.","['nausea', 'heartburn', 'headache', 'runny nose', 'white patches in the mouth', 'vaginal itching, burning, and pain, or other signs of a yeast infection', 'flushing', 'any type of rash, including a rash on the cheeks or arms that gets worse in the sun', 'chest pain', 'irregular heartbeat', 'pain in the arms, back, neck, or jaw', 'stomach pain', 'swelling of the feet, ankles, stomach, or lower legs', 'sudden weight gain', 'shortness of breath', 'blurred vision or vision changes', 'sudden weakness of an arm or leg (especially on one side of the body) or of the face', 'muscle or joint pain', 'numbness or tingling in any part of the body', 'sudden confusion, trouble speaking, or trouble understanding', 'sudden trouble walking', 'dizziness or faintness', 'loss of balance or coordination', 'sudden, severe headache', 'seizures', 'yellowing of the skin or eyes', 'dark colored urine', 'loss of appetite', 'pain in the upper right part of the stomach', 'unusual bruising or bleeding', 'blood in stool', 'pale skin', 'red, scaly patches or pus-filled bumps on the skin']",https://medlineplus.gov/druginfo/meds/a604023.html
Meclizine,"Meclizine is used to prevent and treat nausea, vomiting, and dizziness caused by motion sickness. It is most effective if taken before symptoms appear.","['drowsiness or fatigue', 'dry mouth', 'blurred vision']",https://medlineplus.gov/druginfo/meds/a682548.html
Sulfinpyrazone,"Sulfinpyrazone is used to treat gouty arthritis. It works by lowering the amount of uric acid in your blood, preventing gout attacks. The drug helps prevent attacks but will not treat an attack once it has started.","['nausea', 'vomiting', 'loss of appetite', 'joint pain, redness, or swelling', 'difficulty breathing', 'tightness in the chest', 'skin rash', 'unusual bruising or bleeding', 'fever', 'sore throat', 'mouth sores', 'swollen or painful glands', 'painful urination', 'change in the amount of urine', 'lower back or side pain', 'blood in urine or stool']",https://medlineplus.gov/druginfo/meds/a682339.html
Dolasetron,"Dolasetron is used to prevent nausea and vomiting caused by cancer chemotherapy. Dolasetron is in a class of medications called serotonin 5-HT3 receptor antagonists. It works by blocking the action of serotonin, a natural substance that may cause nausea and vomiting.","['headache', 'tiredness', 'heartburn', 'chills', 'less frequent urination', 'dizziness', 'rapid, pounding, or irregular heart beat', 'hives', 'rash', 'itching', 'difficulty swallowing or breathing', 'dizziness, light-headedness, or fainting', 'fast, slow or irregular heartbeat', 'agitation', 'hallucinations (seeing things or hearing voices that do not exist)', 'fever', 'excessive sweating', 'confusion', 'nausea, vomiting, or diarrhea', 'loss of coordination', 'stiff or twitching muscles', 'seizures', 'coma (loss of consciousness)']",https://medlineplus.gov/druginfo/meds/a601001.html
Dolasetron Injection,"Dolasetron injection is used to prevent and treat nausea and vomiting that may occur after surgery. Dolasetron injection should not be used to prevent or treat nausea and vomiting in people receiving cancer chemotherapy medications. Dolasetron is in a class of medications called serotonin 5-HT3 receptor antagonists. It works by blocking the action of serotonin, a natural substance that may cause nausea and vomiting.","['headache', 'drowsiness', 'chills', 'hives', 'rash', 'itching', 'difficulty breathing or swallowing', 'changes in heart beat or heart rhythm', 'dizziness lightheadedness, or fainting', 'fast, slow or irregular heartbeat', 'agitation', 'confusion', 'nausea, vomiting, or diarrhea', 'loss of coordination', 'stiff or twitching muscles', 'seizures', 'coma (loss of consciousness)']",https://medlineplus.gov/druginfo/meds/a601214.html
Apalutamide,Apalutamide is used to treat certain types of prostate cancer (cancer in men that begins in the prostate [a male reproductive gland]) and has spread to other parts of the body or that has not spread to other parts of the body but has not been helped by other medical treatments. Apalutamide is in a class of medications called androgen receptor inhibitors. It works by blocking the effects of androgen (a male reproductive hormone) to stop the growth and spread of cancer cells.,"['weakness', 'tiredness', 'joint pain', 'muscle weakness or stiffness', 'diarrhea', 'nausea', 'loss of appetite', 'weight loss', 'hot flashes', 'seizures', 'loss of consciousness', 'swelling of the arms, legs, hands, or feet', 'falling', 'chest pain', 'shortness of breath', 'rash', 'skin blistering, peeling, or redness with or without a fever', 'fever or flu-like symptoms', 'swollen glands', 'numbness or weakness of face, arm, or leg, especially on one side of the body', 'difficulty talking or understanding', 'difficulty seeing in one or both eyes', 'dizziness', 'loss of balance or coordination', 'or difficulty walking']",https://medlineplus.gov/druginfo/meds/a618018.html
Insulin Glulisine (rDNA origin) Injection,"Insulin glulisine is used to treat type 1 diabetes (condition in which the body does not make insulin and therefore cannot control the amount of sugar in the blood). It is also used to treat people with type 2 diabetes (condition in which the blood sugar is too high because the body does not produce or use insulin normally) who need insulin to control their diabetes. In patients with type 1 diabetes, insulin glulisine is usually used with another type of insulin, unless it is used in an external insulin pump. In patients with type 2 diabetes, insulin glulisine also may be used with another type of insulin or with oral medication(s) for diabetes. Insulin glulisine is a short-acting, synthetic version of human insulin. Insulin glulisine works by replacing the insulin that is normally produced by the body and by helping move sugar from the blood into other body tissues where it is used for energy. It also stops the liver from producing more sugar.","['redness, swelling, or itching at the site of the injection', 'changes in the feel of your skin, skin thickening (fat build-up), or a little indentation in the skin (fat breakdown)', 'weight gain', 'rash and/or itching over the whole body', 'shortness of breath', 'wheezing', 'swelling of your face, tongue, or throat', 'feeling dizzy or confused', 'blurred vision', 'fast heartbeat', 'sweating', 'lightheadedness/fainting', 'difficulty breathing or swallowing', 'swelling of the arms, hands, feet, and ankles', 'sudden weight gain', 'weakness, muscle cramps, and abnormal heartbeat']",https://medlineplus.gov/druginfo/meds/a607033.html
Apixaban,"Apixaban is used to help prevent strokes or blood clots in people who have atrial fibrillation (a condition in which the heart beats irregularly, increasing the chance of clots forming in the body and possibly causing strokes) that is not caused by heart valve disease. Apixaban is also used to prevent deep vein thrombosis (DVT; a blood clot, usually in the leg) and pulmonary embolism (PE; a blood clot in the lung) in people who are having hip replacement or knee replacement surgery. Apixaban is also used to treat DVT and PE and may be continued to prevent DVT and PE from happening again after the initial treatment is completed. Apixaban is in a class of medications called factor Xa inhibitors. It works by blocking the action of a certain natural substance that helps blood clots to form.","['bleeding gums', 'nosebleeds', 'heavy vaginal bleeding', 'red, pink, or brown urine', 'red or black, tarry stools', 'coughing up or vomiting blood or material that looks like coffee grounds', 'swelling or joint pain', 'headache', 'rash', 'chest pain or tightness', 'swelling of the face or tongue', 'trouble breathing', 'wheezing', 'feeling dizzy or faint']",https://medlineplus.gov/druginfo/meds/a613032.html
Bupropion,"Bupropion (Aplenzin, Wellbutrin, Wellbutrin SR, Wellbutrin XL) is used to treat depression. Bupropion (Aplenzin, Wellbutrin XL) is also used to treat seasonal affective disorder (SAD; episodes of depression that occur at the same time each year [usually in the fall and winter but rarely may occur in the spring or summer months]). Bupropion (Zyban) is used to help people stop smoking. Bupropion is in a class of medications called antidepressants. It works by increasing certain types of activity in the brain.","['drowsiness', 'anxiety', 'excitement', 'difficulty falling asleep or staying asleep', 'dry mouth', 'dizziness', 'headache', 'nausea', 'vomiting', 'stomach pain', 'uncontrollable shaking of a part of the body', 'loss of appetite', 'weight loss', 'constipation', 'excessive sweating', 'ringing in the ears', 'changes in your sense of taste', 'frequent urination', 'sore throat', 'seizures', 'confusion', 'hallucinating (seeing things or hearing voices that do not exist)', 'irrational fears', 'muscle or joint pain', 'rapid, pounding, or irregular heartbeat', 'fever', 'rash or blisters', 'itching', 'hives', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'difficulty breathing or swallowing', 'chest pain']",https://medlineplus.gov/druginfo/meds/a695033.html
Apomorphine Injection,"Apomorphine injection is used to treat ''off'' episodes (times of difficulty moving, walking, and speaking that may happen as medication wears off or at random) in people with advanced Parkinson's disease (PD; a disorder of the nervous system that causes difficulties with movement, muscle control, and balance) who are taking other medications for their condition. Apomorphine injection is in a class of medications called dopamine agonists. It works by acting in place of dopamine, a natural substance produced in the brain that is needed to control movement.","['nausea', 'vomiting', 'constipation', 'diarrhea', 'headache', 'yawning', 'runny nose', 'weakness', 'arm, leg, or back pain', 'pain or difficulty in urination', 'soreness, redness, pain, bruising, swelling, or itching in the place where you injected apomorphine', 'fainting', 'fast or pounding heartbeat', 'swelling of the hands, feet, ankles, or lower legs', 'bruising', 'sudden uncontrollable movements', 'falling down', 'hallucinations (seeing things or hearing voices that do not exist), aggressive behavior, agitation, feeling like people are against you, or disorganized thoughts', 'depression', 'fever', 'confusion', 'painful erection that does not go away', 'tiredness, chest pain, shortness of breath', 'rash', 'hives', 'itching', 'swelling of the face, throat, tongue, lips, or eyes', 'difficulty breathing and swallowing', 'shortness of breath', 'cough', 'or hoarseness']",https://medlineplus.gov/druginfo/meds/a604020.html
Apomorphine Sublingual,"Apomorphine sublingual is used to treat ''off'' episodes (times of difficulty moving, walking, and speaking that may happen as medication wears off or at random) in people with advanced Parkinson's disease (PD; a disorder of the nervous system that causes difficulties with movement, muscle control, and balance). Apomorphine is in a class of medications called dopamine agonists. It works by acting in place of dopamine, a natural substance produced in the brain that is needed to control movement.","['nausea', 'vomiting', 'dry mouth', 'headache', 'runny nose', 'tiredness', 'excessive sweating', 'falling down', 'hallucinations (seeing things or hearing voices that do not exist), aggressive behavior, agitation, feeling like people are against you, or disorganized thoughts', 'high fever, stiff muscles, changes in breathing or heartbeat, or confusion', 'shortness of breath, fast heartbeat, chest pain, or fainting', 'painful erection that does not go away', 'pale skin, dizziness, fast heartbeat, confusion, yellow skin or eyes, fever, unusual tiredness or weakness, chest pain, dark colored urine, shortness of breath, or trouble breathing', 'mouth redness, sores, dryness, swelling, or pain', 'pain with swallowing', 'rash', 'hives', 'itching', 'swelling of the face, throat, tongue, or lips', 'flushing', 'throat tightness', 'or difficulty breathing or swallowing']",https://medlineplus.gov/druginfo/meds/a620044.html
Penicillin G Procaine Injection,Penicillin G procaine injection is used to treat certain infections caused by bacteria. Penicillin G procaine injection should not be used to treat gonorrhea (a sexually transmitted disease) or early in the treatment of certain serious infections. Penicillin G procaine injection is in a class of medications called penicillins. It works by killing bacteria that cause infections.,"['nausea', 'vomiting', 'pain, swelling, lump, bleeding, or bruising in the area where the medication was injected', 'rash', 'hives', 'itching', 'difficulty breathing or swallowing', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'sore throat', 'chills', 'fever', 'headache', 'muscle or joint pain', 'weakness', 'fast heartbeat', 'severe diarrhea (watery or bloody stools) with or without fever and stomach cramps that may occur up to 2 months or more after your treatment', 'sudden onset of lower back pain, muscle weakness, numbness, and tingling', 'blue or black skin discoloration in the area where the medication was injected', 'skin blistering, peeling, or shedding in the area where the medication was injected', 'numbness of the arms or legs in the area where the medication was injected']",https://medlineplus.gov/druginfo/meds/a615052.html
Apraclonidine Ophthalmic,"Apraclonidine 0.5% eye drops are used for the short-term treatment of glaucoma (a condition that can cause damage to the optic nerve and vision loss, usually due to increased pressure in the eye) in people who are taking other medications for this condition and still have increased pressure in the eye. Apraclonidine 1% eye drops are used to prevent or reduce increased pressure in the eye during and after certain types of laser eye surgery. Apraclonidine is in a class of medications called alpha-2-adrenergic agonists. It lowers the pressure in the eye by decreasing the amount of fluid produced within the eye.","['red, swollen, itchy, or teary eyes', 'eye discomfort', 'feeling that something is in the eye', 'irregular, slow, or pounding heartbeat', 'blurred vision', 'pale eyes', 'dry eyes', 'widened pupils (dark circles in the center of the eyes)', 'raised eyelids', 'lack of usual coordination', 'lack of energy', 'sleepiness', 'difficulty falling asleep or staying asleep', 'unusual dreams', 'dizziness', 'headache', 'depression', 'irritability', 'pain, burning, or tingling in the hands or feet', 'changed sense of taste or smell', 'dry mouth', 'nausea', 'vomiting', 'stomach pain', 'constipation', 'diarrhea', 'dry or burning nose', 'chest heaviness or burning', 'skin redness', 'rash', 'itching', 'feeling hot', 'clammy or sweaty palms', 'decreased sexual desire', 'fainting', 'swelling of the face, eyes, arms, hands, feet, ankles, or lower legs', 'shortness of breath']",https://medlineplus.gov/druginfo/meds/a608005.html
Apremilast,"Apremilast is used to treat psoriatic arthritis (a condition that causes joint pain and swelling and scales on the skin). It is also used to treat moderate to severe plaque psoriasis (skin disease in which red, scaly patches form on some areas of the body) in people who may benefit from medications or phototherapy (a treatment that involves exposing the skin to ultraviolet light). Apremilast is used to treat ulcers in the mouth in people with Behcet's syndrome (a disorder that causes blood vessel swelling in the body). Apremilast is in a class of medications called phosphodiesterase inhibitors. It works by blocking the action of certain natural substances in the body that cause inflammation.","['diarrhea', 'nausea', 'stomach pain', 'vomiting', 'headache', 'sore throat, cough, and fever', 'sneezing, runny nose, and nasal congestion']",https://medlineplus.gov/druginfo/meds/a614022.html
Aprepitant,"Aprepitant is used with other medications in adults and children 6 months of age and older to prevent nausea and vomiting that may occur after receiving cancer chemotherapy treatment. It is also used with other medications in adults and children 6 months of age and older to prevent delayed nausea and vomiting that may occur several days after receiving certain chemotherapy medications. Aprepitant is not used to treat nausea and vomiting that you already have. Aprepitant is in a class of medications called antiemetics. It works by blocking the action of neurokinin, a natural substance in the brain that causes nausea and vomiting.","['weakness', 'tiredness', 'dizziness', 'diarrhea', 'constipation', 'gas', 'stomach pain', 'heartburn', 'nausea', 'hiccups', 'loss of appetite', 'headache', 'fever', 'hair loss', 'hives', 'rash', 'itching', 'skin peeling or blisters', 'difficulty breathing or swallowing']",https://medlineplus.gov/druginfo/meds/a604003.html
Aprepitant/Fosaprepitant Injection,"Aprepitant injection and fosaprepitant injection are used along with other medications to prevent nausea and vomiting in adults that may occur within 24 hours or several days after receiving certain cancer chemotherapy treatments. Fosaprepitant injection can also be used in children 6 months of age and older. Aprepitant and fosaprepitant injections are not used to treat nausea and vomiting that you already have. Aprepitant and fosaprepitant injections are in a class of medications called antiemetics. They work by blocking the action of neurokinin, a natural substance in the brain that causes nausea and vomiting.","['tiredness or weakness', 'diarrhea', 'pain, redness, itching, hardness, or swelling at the injection site', 'weakness, numbness, tingling, or pain in arms or legs', 'headache', 'heartburn', 'peeling or blistering of the skin', 'frequent or painful urination, sudden need to urinate right away']",https://medlineplus.gov/druginfo/meds/a617042.html
Hydralazine,Hydralazine is used to treat high blood pressure. Hydralazine is in a class of medications called vasodilators. It works by relaxing the blood vessels so that blood can flow more easily through the body.,"['flushing', 'headache', 'upset stomach', 'vomiting', 'loss of appetite', 'diarrhea', 'constipation', 'eye tearing', 'stuffy nose', 'rash', 'fainting', 'joint or muscle pain', 'fever', 'rapid heartbeat', 'chest pain', 'swollen ankles or feet', 'numbing or tingling in hands or feet']",https://medlineplus.gov/druginfo/meds/a682246.html
Cabotegravir injection,Cabotegravir injection is used for prevention of human immunodeficiency virus type 1 (HIV-1) infection in certain adults and adolescents 12 years of age or older weighing at least 77 pounds (35 kg).,"['pain, tenderness, swelling, redness, itching, bruising, or warmth at injection site', 'diarrhea', 'headache', 'fatigue', 'fever', 'rash with or without: fever', 'extreme tiredness', 'muscle or joint aches', 'blisters', 'mouth sores', 'swelling of the eyes, lips, tongue, or mouth', 'or difficulty breathing', 'yellow eyes or skin', 'right upper abdominal pain', 'bruising', 'bleeding', 'loss of appetite', 'confusion', 'yellow or brown-colored urine', 'or pale stools']",https://medlineplus.gov/druginfo/meds/a622053.html
